Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
0.108197,33122,33122,78963.99,78722.05178571428,78722.05178571428,79447.86642857142,-51.768723965704496,25.59173499463339,-0.006059309781132968,2026-08-25 00:15:00+00:00,2026-08-25 00:15:00+00:00,0 days 00:00:00,score=80
0.107528,33252,33252,78998.97,78713.30607142857,78713.30607142857,79570.32785714285,-56.15459934354196,25.43772843211286,-0.006610622172397622,2026-08-26 08:45:00+00:00,2026-08-26 08:45:00+00:00,0 days 00:00:00,score=80
0.10699,33316,33317,78897.99,78638.49107142858,78638.49107142858,79416.98785714286,-53.046032532604976,25.282242164748215,-0.006284110028386908,2026-08-27 00:45:00+00:00,2026-08-27 01:00:00+00:00,0 days 00:15:00,score=80
0.104337,33411,33414,80421.58,80888.00928571429,80188.36535714284,80888.00928571429,23.419994457616504,25.245837925955357,0.002791102858035358,2026-08-28 00:30:00+00:00,2026-08-28 01:15:00+00:00,0 days 00:45:00,score=80
0.10632899999999999,33666,33670,79124.0,78850.49,78850.49,79671.02000000002,-54.277949110815484,25.195904320814996,-0.006451541062130356,2026-08-30 16:15:00+00:00,2026-08-30 17:15:00+00:00,0 days 01:00:00,score=80
0.102569,34072,34075,81522.54,81031.34785714286,81031.34785714286,82504.92428571428,-75.39057148614336,25.00948458542893,-0.009016193247203243,2026-09-03 21:45:00+00:00,2026-09-03 22:30:00+00:00,0 days 00:45:00,score=80
0.10201099999999999,34099,34101,81267.65,80996.37142857142,80996.37142857142,81810.17714285715,-52.50247098492495,24.829072634924998,-0.006333080919300963,2026-09-04 04:30:00+00:00,2026-09-04 05:00:00+00:00,0 days 00:30:00,score=80
0.10335799999999999,34228,34232,79726.91,79641.82142857142,79641.82142857142,79897.08714285716,-33.50263458020681,24.708050014491427,-0.004065649459780174,2026-09-05 12:45:00+00:00,2026-09-05 13:45:00+00:00,0 days 01:00:00,score=80
0.10258199999999999,34296,34298,80020.0,79872.88214285714,79872.88214285714,80314.23571428572,-39.69484147539661,24.60319745396786,-0.004835755815510434,2026-09-06 05:45:00+00:00,2026-09-06 06:15:00+00:00,0 days 00:30:00,score=80
0.10171999999999999,34370,34373,80328.01,80038.99178571427,80038.99178571427,80906.01642857143,-53.86772988960733,24.46879713246428,-0.006592578565861241,2026-09-07 00:15:00+00:00,2026-09-07 01:00:00+00:00,0 days 00:45:00,score=80
